"Turbulent Kinetic Energy (J/kg)","Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
1.7976931348623157e+308,0.19361622689952843,0.20800000429153442,0.078,0
1.7976931348623157e+308,2.8591995719033911,0.20787000424861907,0.078,0
1.7976931348623157e+308,5.1822787736120244,0.20774000420570374,0.078,0
1.7976931348623157e+308,6.1749045972296006,0.20761000416278838,0.078,0
1.7976931348623157e+308,6.8482891017354168,0.20748000411987305,0.078,0
1.7976931348623157e+308,6.9601232048521275,0.20735000407695769,0.078,0
1.7976931348623157e+308,6.9787626072595428,0.20722000403404237,0.078,0
1.7976931348623157e+308,6.9295203603840276,0.20709000399112701,0.078,0
1.7976931348623157e+308,6.8444300334697781,0.20696000394821168,0.078,0
1.7976931348623157e+308,6.7289003101134233,0.20683000390529632,0.078,0
1.7976931348623157e+308,6.6608404028742569,0.20670000386238099,0.078,0
1.7976931348623157e+308,6.5058915051164501,0.20657000381946564,0.078,0
1.7976931348623157e+308,6.4195905108626619,0.20644000377655031,0.078,0
1.7976931348623157e+308,6.2302536133677355,0.20631000373363495,0.078,0
1.7976931348623157e+308,6.1273037240166666,0.20618000369071959,0.078,0
1.7976931348623157e+308,6.0187764774343169,0.20605000364780426,0.078,0
1.7976931348623157e+308,5.9045814901445954,0.20592000360488891,0.078,0
1.7976931348623157e+308,5.7845931626993101,0.20579000356197358,0.078,0
1.7976931348623157e+308,5.6587193903743556,0.20566000351905822,0.078,0
1.7976931348623157e+308,5.5268581972484245,0.20553000347614289,0.078,0
1.7976931348623157e+308,5.38892304966003,0.20540000343322753,0.078,0
1.7976931348623157e+308,5.2448500688404032,0.20527000339031221,0.078,0
1.7976931348623157e+308,5.0946043027900529,0.20514000334739685,0.078,0
1.7976931348623157e+308,4.9381845915297671,0.20501000330448152,0.078,0
1.7976931348623157e+308,4.9381845915297671,0.20488000326156616,0.078,0
1.7976931348623157e+308,4.7756303662069151,0.20475000321865083,0.078,0
1.7976931348623157e+308,4.607025624839979,0.20462000317573548,0.078,0
1.7976931348623157e+308,4.607025624839979,0.20449000313282012,0.078,0
1.7976931348623157e+308,4.432505819243401,0.20436000308990479,0.078,0
1.7976931348623157e+308,4.2522605111424703,0.20423000304698943,0.078,0
1.7976931348623157e+308,4.2522605111424703,0.2041000030040741,0.078,0
1.7976931348623157e+308,4.0665413615018107,0.20397000296115875,0.078,0
1.7976931348623157e+308,3.8756659437826428,0.20384000291824342,0.078,0
1.7976931348623157e+308,3.8756659437826428,0.20371000287532806,0.078,0
1.7976931348623157e+308,3.6800259978725154,0.20358000283241273,0.078,0
1.7976931348623157e+308,3.6800259978725154,0.20345000278949738,0.078,0
1.7976931348623157e+308,3.4800913626991661,0.20332000274658205,0.078,0
1.7976931348623157e+308,3.4800913626991661,0.20319000270366669,0.078,0
1.7976931348623157e+308,3.2764158758262774,0.20306000266075133,0.078,0
1.7976931348623157e+308,3.2764158758262774,0.202930002617836,0.078,0
1.7976931348623157e+308,3.0696412867398366,0.20280000257492065,0.078,0
1.7976931348623157e+308,3.0696412867398366,0.20267000253200532,0.078,0
1.7976931348623157e+308,2.8605029401192099,0.20254000248908996,0.078,0
1.7976931348623157e+308,2.8605029401192099,0.20241000244617463,0.078,0
1.7976931348623157e+308,2.8605029401192099,0.20228000240325927,0.078,0
1.7976931348623157e+308,2.6498332021686011,0.20215000236034394,0.078,0
1.7976931348623157e+308,2.6498332021686011,0.20202000231742859,0.078,0
1.7976931348623157e+308,2.4385668435515937,0.20189000227451326,0.078,0
1.7976931348623157e+308,2.4385668435515937,0.2017600022315979,0.078,0
1.7976931348623157e+308,2.4385668435515937,0.20163000218868257,0.078,0
1.7976931348623157e+308,2.2277505708993206,0.20150000214576722,0.078,0
1.7976931348623157e+308,2.2277505708993206,0.20137000210285186,0.078,0
1.7976931348623157e+308,2.0185402661086966,0.20124000205993653,0.078,0
1.7976931348623157e+308,2.0185402661086966,0.20111000201702117,0.078,0
1.7976931348623157e+308,2.0185402661086966,0.20098000197410584,0.078,0
1.7976931348623157e+308,1.81221066265786,0.20085000193119049,0.078,0
1.7976931348623157e+308,1.81221066265786,0.20072000188827516,0.078,0
1.7976931348623157e+308,1.81221066265786,0.2005900018453598,0.078,0
1.7976931348623157e+308,1.6101673710242956,0.20046000180244447,0.078,0
1.7976931348623157e+308,1.6101673710242956,0.20033000175952911,0.078,0
1.7976931348623157e+308,1.6101673710242956,0.20020000171661378,0.078,0
1.7976931348623157e+308,1.4139713665847684,0.20007000167369843,0.078,0
1.7976931348623157e+308,1.4139713665847684,0.19994000163078307,0.078,0
1.7976931348623157e+308,1.4139713665847684,0.19981000158786774,0.078,0
1.7976931348623157e+308,1.2253806303079495,0.19968000154495238,0.078,0
1.7976931348623157e+308,1.2253806303079495,0.19955000150203706,0.078,0
1.7976931348623157e+308,1.2253806303079495,0.1994200014591217,0.078,0
1.7976931348623157e+308,1.2253806303079495,0.19929000141620637,0.078,0
1.7976931348623157e+308,1.0464212452907886,0.19916000137329101,0.078,0
1.7976931348623157e+308,1.0464212452907886,0.19903000133037568,0.078,0
1.7976931348623157e+308,1.0464212452907886,0.19890000128746033,0.078,0
1.7976931348623157e+308,0.87952306038553196,0.198770001244545,0.078,0
1.7976931348623157e+308,0.87952306038553196,0.19864000120162964,0.078,0
1.7976931348623157e+308,0.87952306038553196,0.19851000115871431,0.078,0
1.7976931348623157e+308,0.87952306038553196,0.19838000111579895,0.078,0
1.7976931348623157e+308,0.72777006255295784,0.1982500010728836,0.078,0
1.7976931348623157e+308,0.72777006255295784,0.19812000102996827,0.078,0
1.7976931348623157e+308,0.72777006255295784,0.19799000098705291,0.078,0
1.7976931348623157e+308,0.72777006255295784,0.19786000094413758,0.078,0
1.7976931348623157e+308,0.59527344263108861,0.19773000090122222,0.078,0
1.7976931348623157e+308,0.59527344263108861,0.1976000008583069,0.078,0
1.7976931348623157e+308,0.59527344263108861,0.19747000081539154,0.078,0
1.7976931348623157e+308,0.59527344263108861,0.19734000077247621,0.078,0
1.7976931348623157e+308,0.48758797461236703,0.19721000072956085,0.078,0
1.7976931348623157e+308,0.48758797461236703,0.19708000068664552,0.078,0
1.7976931348623157e+308,0.48758797461236703,0.19695000064373017,0.078,0
1.7976931348623157e+308,0.48758797461236703,0.19682000060081484,0.078,0
1.7976931348623157e+308,0.41143076633792663,0.19669000055789948,0.078,0
1.7976931348623157e+308,0.41143076633792663,0.19656000051498412,0.078,0
1.7976931348623157e+308,0.41143076633792663,0.19643000047206879,0.078,0
1.7976931348623157e+308,0.41143076633792663,0.19630000042915344,0.078,0
1.7976931348623157e+308,0.41143076633792663,0.19617000038623811,0.078,0
1.7976931348623157e+308,0.37182448999736795,0.19604000034332275,0.078,0
1.7976931348623157e+308,0.37182448999736795,0.19591000030040742,0.078,0
1.7976931348623157e+308,0.37182448999736795,0.19578000025749207,0.078,0
1.7976931348623157e+308,0.37182448999736795,0.19565000021457674,0.078,0
1.7976931348623157e+308,0.37182448999736795,0.19552000017166138,0.078,0
1.7976931348623157e+308,0.3663276905737945,0.19539000012874605,0.078,0
1.7976931348623157e+308,0.3663276905737945,0.19526000008583069,0.078,0
1.7976931348623157e+308,0.3663276905737945,0.19513000004291536,0.078,0
1.7976931348623157e+308,0.3663276905737945,0.19500000000000001,0.078,0
